"Год","Регион","mean_salary","flat_count"
2000,"Алтайский край",1224.2,4763
2000,"Амурская область",1825.2,1676
2000,"Архангельская обл...",2139.5,1042
2000,"Ненецкий авт.округ",3426.3,181
2000,"Астраханская область",1778.6,3364
2000,"Белгородская область",1554.5,8700
2000,"Брянская область",1312.1,2876
2000,"Владимирская область",1279.6,3796
2000,"Волгоградская обл...",1577.6,4740
2000,"Вологодская область",2022.8,2547
2000,"Воронежская область",1486.5,7208
2000,"Нижегородская обл...",1717.9,7412
2000,"Ивановская область",1037.6,1297
2000,"Иркутская область",2374.2,2703
2000,"Республика Ингушетия",587.2,141
2000,"Калининградская о...",1843.3,2008
2000,"Тверская область",1253.7,2789
2000,"Калужская область",1311.3,2886
2000,"Центральный федер...",3230.6,128478
2000,"Краснодарский край",1563.4,13038
2000,"Камчатский край",3452.4,107
2000,"Северо-Западный ф...",2268.9,33878
2000,"Кемеровская область",2275.5,4431
2000,"Приволжский федер...",1726.2,84580
2000,"Кировская область",1359.3,3140
2000,"Уральский федерал...",2743.6,30714
2000,"Костромская область",1438.9,2466
2000,"Сибирский федерал...",1933,36384
2000,"Дальневосточный ф...",2497.6,11246
2000,"Самарская область",2605.2,8099
2000,"Курганская область",1341.6,935
2000,"Курская область",1464.9,2199
2000,"Красноярский край",2773.3,6292
2000,"г.Санкт-Петербург",2555.6,15191
2000,"Ленинградская обл...",1354.9,5410
2000,"Липецкая область",1772,4136
2000,"Магаданская область",3724.5,99
2000,"г.Москва",7998.3,49233
2000,"Московская область",1823.9,24889
2000,"Мурманская область",3550.1,467
2000,"Новгородская область",1807.5,1310
2000,"Приморский край",1799.8,2596
2000,"Новосибирская обл...",1608.3,6940
2000,"Омская область",1582.1,3152
2000,"Оренбургская область",1451.4,3722
2000,"Орловская область",1414.5,2868
2000,"Пензенская область",1259.9,2903
2000,"Пермский край",2401,4546
2000,"Псковская область",1374.8,1190
2000,"Ростовская область",1653.3,11241
2000,"Рязанская область",1265.2,3230
2000,"Саратовская область",1540.1,5007
2000,"Сахалинская область",2792.8,890
2000,"Российская Федерация",2281.1,373
2000,"Свердловская область",2139.7,7824
2000,"Смоленская область",1720.2,2170
2000,"Тамбовская область",1508.6,2846
2000,"Томская область",2070.2,2609
2000,"Ставропольский край",1405,6471
2000,"Тульская область",1486,3034
2000,"Тюменская область",4934.5,13085
2000,"Ханты-Мансийский ...",6627.5,5486
2000,"Ямало-Ненецкий ав...",7562.6,1449
2000,"Ульяновская область",1276.6,2591
2000,"Челябинская область",1968.6,8870
2000,"Забайкальский край",1405.7,902
2000,"Чукотский авт.округ",4731.9,8
2000,"Ярославская область",1804.2,1855
2000,"Республика Адыгея",1385.3,650
2000,"Хабаровский край",2500.4,2317
2000,"Республика Башкор...",1736.3,15349
2000,"Республика Бурятия",1639,2086
2000,"Республика Дагестан",861.3,3904
2000,"Кабардино-Балкарс...",1057.1,1562
2000,"Республика Алтай",1182,400
2000,"Республика Калмыкия",979,441
2000,"Республика Карелия",2313.2,834
2000,"Республика Коми",3140.8,3879
2000,"Республика Марий Эл",1067.8,1636
2000,"Республика Мордовия",1128.4,2128
2000,"Республика Северн...",1472.8,1402
2000,"Карачаево-Черкесс...",1039.5,391
2000,"Республика Татарстан",1813.1,19411
2000,"Республика Тыва",1167.6,595
2000,"Удмуртская Респуб...",1513.7,3328
2000,"Республика Хакасия",1904.1,1511
2000,"Чувашская Республика",1139.9,5308
2000,"Республика Саха (...",3967.7,3409
2000,"Еврейская автоном...",1488.8,144
2001,"Алтайский край",1690.7,4722
2001,"Амурская область",2313,1275
2001,"Архангельская обл...",3041.1,1322
2001,"Ненецкий авт.округ",5887.6,181
2001,"Астраханская область",2333.3,3567
2001,"Белгородская область",2121.4,6624
2001,"Брянская область",1818.3,2737
2001,"Владимирская область",1665.9,3313
2001,"Волгоградская обл...",2163,4152
2001,"Вологодская область",2719,3349
2001,"Воронежская область",2039.7,7083
2001,"Нижегородская обл...",2406.6,6122
2001,"Ивановская область",1297.8,1140
2001,"Иркутская область",2879.5,2190
2001,"Республика Ингушетия",908.5,241
2001,"Калининградская о...",2339.6,1992
2001,"Тверская область",1689.6,3402
2001,"Калужская область",1782.1,2507
2001,"Центральный федер...",4299.6,130268
2001,"Краснодарский край",2124.6,12893
2001,"Камчатский край",4559.1,170
2001,"Северо-Западный ф...",3084.1,32367
2001,"Кемеровская область",3086.5,5523
2001,"Приволжский федер...",2319.4,89631
2001,"Кировская область",1830.6,3261
2001,"Уральский федерал...",3819.8,34847
2001,"Костромская область",1904.5,2618
2001,"Сибирский федерал...",2576,32794
2001,"Дальневосточный ф...",3303.9,12828
2001,"Самарская область",3262.6,8556
2001,"Курганская область",1784.8,1233
2001,"Курская область",1979.9,2266
2001,"Красноярский край",3571.8,5032
2001,"г.Санкт-Петербург",3425.8,15179
2001,"Ленинградская обл...",1868.7,5198
2001,"Липецкая область",2261.2,4378
2001,"Магаданская область",5069.3,105
2001,"г.Москва",10282,52204
2001,"Московская область",2626.4,29163
2001,"Мурманская область",4620.2,107
2001,"Новгородская область",2407.7,1336
2001,"Приморский край",2367.2,2933
2001,"Новосибирская обл...",2140.3,5292
2001,"Омская область",2341.4,2112
2001,"Оренбургская область",1927.4,4614
2001,"Орловская область",1963.2,2722
2001,"Пензенская область",1708.3,2362
2001,"Пермский край",3253.9,6785
2001,"Псковская область",1847.7,1312
2001,"Ростовская область",2270.6,10869
2001,"Рязанская область",1852.8,1907
2001,"Саратовская область",2035.2,5893
2001,"Сахалинская область",3872.4,396
2001,"Российская Федерация",3062,317
2001,"Свердловская область",2994.2,7535
2001,"Смоленская область",2336.4,2049
2001,"Тамбовская область",2072,2341
2001,"Томская область",2851.3,2911
2001,"Ставропольский край",1766.5,5338
2001,"Тульская область",2015.1,1451
2001,"Тюменская область",7108.8,18116
2001,"Ханты-Мансийский ...",9594,11049
2001,"Ямало-Ненецкий ав...",10732.8,1617
2001,"Ульяновская область",1717.1,2961
2001,"Челябинская область",2500.2,7963
2001,"Забайкальский край",2011.5,1119
2001,"Чукотский авт.округ",7951.9,172
2001,"Ярославская область",2518.2,2364
2001,"Республика Адыгея",1642.5,843
2001,"Хабаровский край",3395.8,2182
2001,"Республика Башкор...",2400.2,17117
2001,"Республика Бурятия",2262.4,2396
2001,"Республика Дагестан",1141.2,5318
2001,"Кабардино-Балкарс...",1465.7,1791
2001,"Республика Алтай",1620,245
2001,"Республика Калмыкия",1545.5,814
2001,"Республика Карелия",2930.8,1022
2001,"Республика Коми",4862.1,1551
2001,"Республика Марий Эл",1387.6,1871
2001,"Республика Мордовия",1570.2,2066
2001,"Республика Северн...",1632.2,1479
2001,"Карачаево-Черкесс...",1341.7,600
2001,"Республика Татарстан",2471.8,19046
2001,"Республика Тыва",1638.3,580
2001,"Удмуртская Респуб...",2024.7,3388
2001,"Республика Хакасия",2475.5,671
2001,"Чувашская Республика",1553.3,5590
2001,"Республика Саха (...",5009.9,5468
2001,"Еврейская автоном...",2028.9,127
2002,"Алтайский край",2194.2,4030
2002,"Амурская область",2874.6,1403
2002,"Архангельская обл...",3956.5,1453
2002,"Ненецкий авт.округ",8621.1,70
2002,"Астраханская область",3058,3069
2002,"Белгородская область",2762.3,7860
2002,"Брянская область",2452.4,2736
2002,"Владимирская область",2158,3320
2002,"Волгоградская обл...",2952.1,4335
2002,"Вологодская область",3481.3,3019
2002,"Воронежская область",2597.4,7517
2002,"Нижегородская обл...",3214.6,5465
2002,"Ивановская область",1778.4,1154
2002,"Иркутская область",3609.9,2914
2002,"Республика Ингушетия",1170.7,164
2002,"Калининградская о...",2716.1,2212
2002,"Тверская область",2349.2,3041
2002,"Калужская область",2503.3,2543
2002,"Центральный федер...",5435.6,144065
2002,"Краснодарский край",2856.8,15274
2002,"Камчатский край",5915.6,156
2002,"Северо-Западный ф...",4010.5,33146
2002,"Кемеровская область",3993.6,6142
2002,"Приволжский федер...",3034.9,87064
2002,"Кировская область",2517.4,2514
2002,"Уральский федерал...",4791.3,36817
2002,"Костромская область",2515.7,1485
2002,"Сибирский федерал...",3373.2,35556
2002,"Дальневосточный ф...",4391.4,10142
2002,"Самарская область",4270.3,9953
2002,"Курганская область",2419.3,1155
2002,"Курская область",2698.5,2379
2002,"Красноярский край",4346.1,6622
2002,"г.Санкт-Петербург",4514.4,16055
2002,"Ленинградская обл...",2417.5,4829
2002,"Липецкая область",2776.2,3350
2002,"Магаданская область",6748.5,37
2002,"г.Москва",12460.8,61278
2002,"Московская область",3546,32857
2002,"Мурманская область",5892.5,60
2002,"Новгородская область",3008.5,1389
2002,"Приморский край",3122.4,1994
2002,"Новосибирская обл...",2933,4873
2002,"Омская область",3221.8,2837
2002,"Оренбургская область",2481.8,4589
2002,"Орловская область",2614.4,2626
2002,"Пензенская область",2221.4,3092
2002,"Пермский край",4129.5,4714
2002,"Псковская область",2735,1318
2002,"Ростовская область",3025.7,10264
2002,"Рязанская область",2530.9,2550
2002,"Саратовская область",2620.7,6011
2002,"Сахалинская область",5522.8,530
2002,"Российская Федерация",3947.2,396
2002,"Свердловская область",3954.1,8160
2002,"Смоленская область",3003.5,2413
2002,"Тамбовская область",2688.3,2445
2002,"Томская область",3954.3,2936
2002,"Ставропольский край",2335.2,5828
2002,"Тульская область",2619.8,2079
2002,"Тюменская область",8558.5,19014
2002,"Ханты-Мансийский ...",10846.3,10653
2002,"Ямало-Ненецкий ав...",13298.1,2740
2002,"Ульяновская область",2378.9,2044
2002,"Челябинская область",3108.3,8488
2002,"Забайкальский край",2993.1,1020
2002,"Чукотский авт.округ",11313.2,205
2002,"Ярославская область",3354.2,2432
2002,"Республика Адыгея",2166.9,1653
2002,"Хабаровский край",4689.1,1748
2002,"Республика Башкор...",3133.8,16612
2002,"Республика Бурятия",3141.2,2290
2002,"Республика Дагестан",1534,4230
2002,"Кабардино-Балкарс...",2095,1684
2002,"Республика Алтай",2354.6,393
2002,"Республика Калмыкия",1763,683
2002,"Республика Карелия",4061,744
2002,"Республика Коми",6225,2067
2002,"Республика Марий Эл",1813.1,1684
2002,"Республика Мордовия",2124.1,1620
2002,"Республика Северн...",1961,1185
2002,"Карачаево-Черкесс...",1999.4,445
2002,"Республика Татарстан",3249.4,18692
2002,"Республика Тыва",2402.1,518
2002,"Удмуртская Респуб...",2533,3932
2002,"Республика Хакасия",3143.7,981
2002,"Чувашская Республика",2069.9,6142
2002,"Республика Саха (...",6348.2,3811
2002,"Еврейская автоном...",3081,259
2003,"Алтайский край",2894.5,4648
2003,"Амурская область",3852.4,1544
2003,"Архангельская обл...",4834.2,1173
2003,"Ненецкий авт.округ",14197.2,132
2003,"Астраханская область",3864.1,3499
2003,"Белгородская область",3357.4,8329
2003,"Брянская область",3134.6,2498
2003,"Владимирская область",2842,3459
2003,"Волгоградская обл...",3802.9,3658
2003,"Вологодская область",4411.8,3277
2003,"Воронежская область",3391.2,9239
2003,"Нижегородская обл...",4000.1,6851
2003,"Ивановская область",2293.1,1208
2003,"Иркутская область",4549.6,2583
2003,"Республика Ингушетия",1402.2,240
2003,"Калининградская о...",3807.1,2089
2003,"Тверская область",3020.6,3230
2003,"Калужская область",3339.8,2371
2003,"Центральный федер...",7211.3,159008
2003,"Краснодарский край",3662.2,14106
2003,"Камчатский край",7100.8,182
2003,"Северо-Западный ф...",5403.5,41361
2003,"Кемеровская область",4906.6,7071
2003,"Приволжский федер...",3916.6,87826
2003,"Кировская область",3093.6,2332
2003,"Уральский федерал...",6109.6,35581
2003,"Костромская область",3089.2,1209
2003,"Сибирский федерал...",4351.3,41591
2003,"Дальневосточный ф...",5788.3,11189
2003,"Самарская область",5788.1,9407
2003,"Курганская область",2867.2,1337
2003,"Курская область",3371.4,3467
2003,"Красноярский край",5508.8,7406
2003,"г.Санкт-Петербург",6851.2,23335
2003,"Ленинградская обл...",3052.3,4673
2003,"Липецкая область",3563.2,3883
2003,"Магаданская область",8184.6,125
2003,"г.Москва",16826.6,64036
2003,"Московская область",4425,39053
2003,"Мурманская область",7134.7,202
2003,"Новгородская область",3715.4,1641
2003,"Приморский край",4246.2,2524
2003,"Новосибирская обл...",3892.9,7223
2003,"Омская область",4512.5,3732
2003,"Оренбургская область",3135.1,5132
2003,"Орловская область",3225.3,2864
2003,"Пензенская область",2764.9,2847
2003,"Пермский край",5257.3,5468
2003,"Псковская область",3555.7,1690
2003,"Ростовская область",4023.9,10966
2003,"Рязанская область",3309.1,2973
2003,"Саратовская область",3337.1,5078
2003,"Сахалинская область",7676,402
2003,"Российская Федерация",5170.4,427
2003,"Свердловская область",5278,8713
2003,"Смоленская область",3723.9,2989
2003,"Тамбовская область",3416.2,2738
2003,"Томская область",5407.3,3563
2003,"Ставропольский край",3071.8,6442
2003,"Тульская область",3382.6,2561
2003,"Тюменская область",10555.5,16239
2003,"Ханты-Мансийский ...",12892.1,8617
2003,"Ямало-Ненецкий ав...",15962.2,1871
2003,"Ульяновская область",3063.1,2198
2003,"Челябинская область",3998.1,9293
2003,"Забайкальский край",4015.7,1532
2003,"Чукотский авт.округ",13663.9,329
2003,"Ярославская область",4266.6,2902
2003,"Республика Адыгея",2548.9,655
2003,"Хабаровский край",6205.3,2139
2003,"Республика Башкор...",4153.1,17485
2003,"Республика Бурятия",3857.4,2296
2003,"Республика Дагестан",2125,4893
2003,"Кабардино-Балкарс...",2571.4,1985
2003,"Республика Алтай",2876.4,325
2003,"Республика Калмыкия",2100.2,477
2003,"Республика Карелия",4937,997
2003,"Республика Коми",7476.7,2283
2003,"Республика Марий Эл",2189,1668
2003,"Республика Мордовия",2719.9,1776
2003,"Республика Северн...",2596,1338
2003,"Карачаево-Черкесс...",2619.2,564
2003,"Республика Татарстан",4273.1,17682
2003,"Республика Тыва",2872.9,301
2003,"Удмуртская Респуб...",3098.1,3933
2003,"Республика Хакасия",3765,911
2003,"Чувашская Республика",2749.2,5968
2003,"Республика Саха (...",8239.7,3756
2003,"Еврейская автоном...",4062.4,188
2004,"Алтайский край",3495.7,3776
2004,"Амурская область",4695.3,1058
2004,"Архангельская обл...",6119.4,1450
2004,"Ненецкий авт.округ",20122.2,109
2004,"Астраханская область",4559.4,3178
2004,"Белгородская область",4070.2,10062
2004,"Брянская область",3720.4,2586
2004,"Владимирская область",3381.6,3727
2004,"Волгоградская обл...",4648.2,5050
2004,"Вологодская область",5246.4,4265
2004,"Воронежская область",4143,8179
2004,"Нижегородская обл...",4793.7,8105
2004,"Ивановская область",2858.8,808
2004,"Иркутская область",5418.6,2864
2004,"Республика Ингушетия",1757.5,170
2004,"Калининградская о...",4692.5,2595
2004,"Тверская область",3955.8,3646
2004,"Калужская область",4181.4,2410
2004,"Центральный федер...",8991.1,179155
2004,"Краснодарский край",4378.9,15612
2004,"Камчатский край",8343,146
2004,"Северо-Западный ф...",6938.2,48428
2004,"Кемеровская область",6161.6,7712
2004,"Приволжский федер...",4786.6,95821
2004,"Кировская область",3757.9,3372
2004,"Уральский федерал...",7412.9,41306
2004,"Костромская область",3815.5,800
2004,"Сибирский федерал...",5266.6,49561
2004,"Дальневосточный ф...",7046.9,10425
2004,"Самарская область",7176.6,9236
2004,"Курганская область",3853.9,1271
2004,"Курская область",4233,3429
2004,"Красноярский край",6407.7,8629
2004,"г.Санкт-Петербург",9175.7,27654
2004,"Ленинградская обл...",4455.1,5148
2004,"Липецкая область",4430.5,4893
2004,"Магаданская область",9485.9,69
2004,"г.Москва",20899.1,62529
2004,"Московская область",5821.1,57831
2004,"Мурманская область",8366.5,137
2004,"Новгородская область",4363.3,2139
2004,"Приморский край",5405,2284
2004,"Новосибирская обл...",4968.7,9092
2004,"Омская область",5427.1,6707
2004,"Оренбургская область",3872.9,5126
2004,"Орловская область",3879,3086
2004,"Пензенская область",3421,3539
2004,"Пермский край",6371.5,5615
2004,"Псковская область",4293.6,1775
2004,"Ростовская область",5038.1,12211
2004,"Рязанская область",3638.8,3103
2004,"Саратовская область",3995,5238
2004,"Сахалинская область",9488.3,485
2004,"Российская Федерация",6410.3,477
2004,"Свердловская область",6743.3,10770
2004,"Смоленская область",4429,3448
2004,"Тамбовская область",4050.9,3351
2004,"Томская область",6472.7,4535
2004,"Ставропольский край",3886.1,6127
2004,"Тульская область",3988.9,2626
2004,"Тюменская область",12190.7,19352
2004,"Ханты-Мансийский ...",14971.6,10788
2004,"Ямало-Ненецкий ав...",18868.1,2434
2004,"Ульяновская область",3668.5,1785
2004,"Челябинская область",4819.8,9913
2004,"Забайкальский край",4799.7,1962
2004,"Чукотский авт.округ",15041.8,396
2004,"Ярославская область",5094.6,2640
2004,"Республика Адыгея",3080.3,310
2004,"Хабаровский край",7596.9,2402
2004,"Республика Башкор...",5156.6,18418
2004,"Республика Бурятия",4671.9,2308
2004,"Республика Дагестан",3311.2,5522
2004,"Кабардино-Балкарс...",3159.9,1751
2004,"Республика Алтай",3419.4,670
2004,"Республика Калмыкия",2312.1,500
2004,"Республика Карелия",5809.2,1172
2004,"Республика Коми",9300.6,2094
2004,"Республика Марий Эл",2566.6,1917
2004,"Республика Мордовия",3266.3,1846
2004,"Республика Северн...",4085.8,1342
2004,"Карачаево-Черкесс...",3343.7,466
2004,"Республика Татарстан",5355,21466
2004,"Республика Тыва",3384.9,282
2004,"Удмуртская Респуб...",3684.8,4118
2004,"Республика Хакасия",4440.9,1025
2004,"Чувашская Республика",3188.4,6039
2004,"Республика Саха (...",9633.2,3394
2004,"Еврейская автоном...",4974.7,191
2005,"Алтайский край",4639.7,4583
2005,"Амурская область",5987.7,1815
2005,"Архангельская обл...",7902.5,1668
2005,"Ненецкий авт.округ",21501.8,466
2005,"Астраханская область",5636.4,4660
2005,"Белгородская область",5275.8,9624
2005,"Брянская область",4787.7,2111
2005,"Владимирская область",4107.5,4306
2005,"Волгоградская обл...",5908.1,5623
2005,"Вологодская область",6344.9,4306
2005,"Воронежская область",5398,9943
2005,"Нижегородская обл...",6056.9,8937
2005,"Ивановская область",3480.3,1176
2005,"Иркутская область",7119.5,3630
2005,"Республика Ингушетия",2737.3,306
2005,"Калининградская о...",6481.1,2843
2005,"Тверская область",5606.1,3228
2005,"Калужская область",5343.4,3060
2005,"Центральный федер...",10902.3,175892
2005,"Краснодарский край",5545.2,17636
2005,"Камчатский край",11167.2,185
2005,"Северо-Западный ф...",8995.9,55131
2005,"Кемеровская область",7888.6,8968
2005,"Приволжский федер...",6229.4,106165
2005,"Кировская область",4644.3,3737
2005,"Уральский федерал...",9581.1,45716
2005,"Костромская область",4985.4,1513
2005,"Сибирский федерал...",6731.4,59573
2005,"Дальневосточный ф...",8989.3,12882
2005,"Самарская область",9264.1,10752
2005,"Курганская область",4799.9,1557
2005,"Курская область",5217.8,3999
2005,"Красноярский край",7790.2,11331
2005,"г.Санкт-Петербург",12263.7,33190
2005,"Ленинградская обл...",5686.5,5328
2005,"Липецкая область",5591.2,5761
2005,"Магаданская область",11166.7,155
2005,"г.Москва",24013.9,62504
2005,"Московская область",7444.8,49217
2005,"Мурманская область",10624.1,116
2005,"Новгородская область",5475.6,2253
2005,"Приморский край",7162.9,2894
2005,"Новосибирская обл...",6638.8,9933
2005,"Омская область",6969.1,9543
2005,"Оренбургская область",5122.3,5495
2005,"Орловская область",4856.5,3333
2005,"Пензенская область",4354.7,3836
2005,"Пермский край",8273.2,8821
2005,"Псковская область",4926.8,1454
2005,"Ростовская область",6359.7,13066
2005,"Рязанская область",4775.1,3806
2005,"Саратовская область",5056,8527
2005,"Сахалинская область",12639.5,458
2005,"Российская Федерация",8088.3,515
2005,"Свердловская область",9021.7,13479
2005,"Смоленская область",5482.7,3741
2005,"Тамбовская область",5292.4,3545
2005,"Томская область",8141.6,5244
2005,"Ставропольский край",5116.5,6841
2005,"Тульская область",4988.4,2173
2005,"Тюменская область",14982.8,18548
2005,"Ханты-Мансийский ...",18114.6,8712
2005,"Ямало-Ненецкий ав...",22230.7,3028
2005,"Ульяновская область",4575.9,3531
2005,"Челябинская область",6553.5,12133
2005,"Забайкальский край",5907.6,1805
2005,"Чукотский авт.округ",19668.9,355
2005,"Ярославская область",6320.7,2852
2005,"Республика Адыгея",3892.9,611
2005,"Хабаровский край",9653.7,2955
2005,"Республика Башкор...",6886.5,19395
2005,"Республика Бурятия",6026.9,2377
2005,"Республика Дагестан",4388.5,5873
2005,"Кабардино-Балкарс...",4190.1,1750
2005,"Республика Алтай",4380.9,540
2005,"Республика Калмыкия",2391.9,484
2005,"Республика Карелия",7277.8,1119
2005,"Республика Коми",11452.3,2854
2005,"Республика Марий Эл",3376,2131
2005,"Республика Мордовия",4102.9,2214
2005,"Республика Северн...",4668.8,1250
2005,"Карачаево-Черкесс...",4083.8,521
2005,"Республика Татарстан",7383.5,16674
2005,"Республика Тыва",4161.5,302
2005,"Удмуртская Респуб...",4656.9,4080
2005,"Республика Хакасия",5176.5,1317
2005,"Чувашская Республика",3958.5,8035
2005,"Республика Саха (...",11349.9,3834
2005,"Еврейская автоном...",6405.7,231
2006,"Алтайский край",6369.1,5466
2006,"Амурская область",7419,1847
2006,"Архангельская обл...",9625.8,2726
2006,"Ненецкий авт.округ",27276.5,557
2006,"Астраханская область",7035,4352
2006,"Белгородская область",7082.8,9957
2006,"Брянская область",6171.1,2878
2006,"Владимирская область",5626.9,4149
2006,"Волгоградская обл...",7889.3,6966
2006,"Вологодская область",8681.9,4672
2006,"Воронежская область",6861.6,11685
2006,"Нижегородская обл...",8049,10332
2006,"Ивановская область",4456.9,2080
2006,"Иркутская область",8826.3,4120
2006,"Республика Ингушетия",3568.8,310
2006,"Калининградская о...",8917.5,6630
2006,"Тверская область",7266.6,4470
2006,"Калужская область",6924.7,3312
2006,"Центральный федер...",13570,209685
2006,"Краснодарский край",7193.1,24282
2006,"Камчатский край",13811.9,355
2006,"Северо-Западный ф...",10889.3,64037
2006,"Кемеровская область",9565.8,11660
2006,"Приволжский федер...",8014.1,117054
2006,"Кировская область",5885.6,4710
2006,"Уральский федерал...",12170.4,57293
2006,"Костромская область",6397.5,1449
2006,"Сибирский федерал...",8434.5,75898
2006,"Дальневосточный ф...",11266.8,13665
2006,"Самарская область",11382.9,8692
2006,"Курганская область",6676.8,1951
2006,"Курская область",6751,4524
2006,"Красноярский край",9784,13116
2006,"г.Санкт-Петербург",13686.7,34227
2006,"Ленинградская обл...",8055.4,7326
2006,"Липецкая область",7610.7,6283
2006,"Магаданская область",13858.3,194
2006,"г.Москва",28249.4,64509
2006,"Московская область",10515,71347
2006,"Мурманская область",13020.1,173
2006,"Новгородская область",7205.9,2472
2006,"Приморский край",9109.5,3562
2006,"Новосибирская обл...",8381.3,15584
2006,"Омская область",9084.3,12299
2006,"Оренбургская область",6326.3,6449
2006,"Орловская область",5972.3,3700
2006,"Пензенская область",5603.4,4894
2006,"Пермский край",11122,9993
2006,"Псковская область",6422.5,1666
2006,"Ростовская область",7482.5,16034
2006,"Рязанская область",6133.4,4695
2006,"Саратовская область",6182,9981
2006,"Сахалинская область",16412.4,576
2006,"Российская Федерация",10154.8,609
